,age_range,self_defined_ethnicity,gender,location,officer_defined_ethnicity,object_of_search
0,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
1,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
2,10-17,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
3,10-17,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
4,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
5,18-24,Asian/Asian British - Pakistani,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
6,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
7,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
8,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
9,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
10,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
11,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
12,25-34,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
13,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
14,25-34,Black/African/Caribbean/Black British - African,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
15,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
16,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
17,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Stolen goods
18,18-24,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
19,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
20,10-17,Mixed/Multiple ethnic groups - White and Asian,Male,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",Asian,Controlled drugs
21,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
22,18-24,Other ethnic group - Not stated,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
23,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
24,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
25,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
26,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
27,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
28,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Stolen goods
29,10-17,Other ethnic group - Not stated,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Anything to threaten or harm anyone
30,,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
31,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
32,18-24,White - Irish,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
33,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Offensive weapons
34,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Evidence of offences under the Act
35,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
36,25-34,White - Any other White background,Male,"{'latitude': '53.472000', 'street': {'id': 723355, 'name': 'On or near River Place'}, 'longitude': '-2.250044'}",White,Controlled drugs
0,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
1,over 34,White - Irish,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
2,over 34,White - Irish,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
3,10-17,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
4,10-17,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Evidence of offences under the Act
5,25-34,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",,Evidence of offences under the Act
6,18-24,Asian/Asian British - Indian,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Controlled drugs
7,10-17,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
8,25-34,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
9,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Stolen goods
10,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
11,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
12,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
13,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
14,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Anything to threaten or harm anyone
15,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Evidence of offences under the Act
16,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
17,10-17,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
18,18-24,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
19,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
20,over 34,Asian/Asian British - Pakistani,,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
21,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
22,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Article for use in theft
23,18-24,Other ethnic group - Any other ethnic group,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
24,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Offensive weapons
25,18-24,Mixed/Multiple ethnic groups - White and Black African,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
26,18-24,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
27,18-24,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
28,18-24,Other ethnic group - Not stated,,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
29,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
30,25-34,Black/African/Caribbean/Black British - Caribbean,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Article for use in theft
31,,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
32,18-24,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
33,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
34,,Other ethnic group - Not stated,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
35,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
36,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
37,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",,Controlled drugs
38,,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
0,25-34,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
1,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Evidence of offences under the Act
2,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
3,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
4,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
5,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Article for use in theft
6,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",,Controlled drugs
7,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Article for use in theft
8,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
9,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Offensive weapons
10,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",White,Article for use in theft
11,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
12,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
13,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
14,over 34,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
15,over 34,Black/African/Caribbean/Black British - African,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
16,18-24,Black/African/Caribbean/Black British - African,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
17,25-34,Asian/Asian British - Indian,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
18,,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",White,Evidence of offences under the Act
19,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.480288', 'street': {'id': 1490184, 'name': 'Piccadilly Gardens (Tram Stop)'}, 'longitude': '-2.237074'}",White,Controlled drugs
