,age_range,self_defined_ethnicity,gender,location,officer_defined_ethnicity,object_of_search
20,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
21,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Other,Controlled drugs
22,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Offensive weapons
23,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Stolen goods
24,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Anything to threaten or harm anyone
25,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
26,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
27,10-17,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
28,10-17,Black/African/Caribbean/Black British - African,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
29,,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
30,,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
31,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Stolen goods
32,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
33,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Anything to threaten or harm anyone
34,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
35,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",White,Offensive weapons
0,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",White,Controlled drugs
1,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
2,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Articles for use in criminal damage
3,25-34,Black/African/Caribbean/Black British - African,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Controlled drugs
4,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Anything to threaten or harm anyone
5,10-17,Other ethnic group - Not stated,,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Controlled drugs
6,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Evidence of offences under the Act
7,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
8,25-34,Black/African/Caribbean/Black British - African,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Anything to threaten or harm anyone
9,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
10,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",White,Controlled drugs
11,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",White,Controlled drugs
12,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Anything to threaten or harm anyone
13,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
14,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
15,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
16,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
17,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
18,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Stolen goods
19,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
20,25-34,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
21,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
22,,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Controlled drugs
23,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Anything to threaten or harm anyone
24,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
25,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Anything to threaten or harm anyone
26,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Anything to threaten or harm anyone
27,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
28,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
29,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
30,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Offensive weapons
31,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
32,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
33,,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
34,,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
35,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
0,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
1,18-24,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
2,over 34,Other ethnic group - Any other ethnic group,,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Controlled drugs
3,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
4,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
5,25-34,White - Any other White background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
6,25-34,White - Any other White background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
7,over 34,Other ethnic group - Not stated,Female,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Offensive weapons
8,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",,Controlled drugs
9,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
10,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
11,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
12,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
13,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
14,18-24,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
15,18-24,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",,Controlled drugs
16,18-24,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
17,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.474200', 'street': {'id': 1487560, 'name': 'Deansgate (Station)'}, 'longitude': '-2.251130'}",Black,Offensive weapons
18,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
19,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
20,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
21,25-34,Other ethnic group - Not stated,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
22,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
23,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
24,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
25,25-34,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
26,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
27,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
28,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
29,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
30,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
31,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Controlled drugs
32,25-34,White - Any other White background,Male,"{'latitude': '53.480288', 'street': {'id': 1490184, 'name': 'Piccadilly Gardens (Tram Stop)'}, 'longitude': '-2.237074'}",White,Controlled drugs
33,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Stolen goods
34,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Evidence of offences under the Act
35,18-24,Black/African/Caribbean/Black British - Caribbean,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Controlled drugs
36,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Black,Controlled drugs
37,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
38,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
39,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
40,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
41,18-24,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
42,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
43,18-24,White - Any other White background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
44,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
